type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	eurypylus	1	-0.354404679652869	0.18053895399645434
speech	menoecea	1	-0.354404679652869	0.18053895399645434
speech	conlabor	1	-0.354404679652869	0.18053895399645434
speech	suppleo	1	-0.354404679652869	0.18053895399645434
speech	electrum	1	-0.354404679652869	0.18053895399645434
speech	flammifera	1	-0.354404679652869	0.18053895399645434
speech	arrectus	1	-0.354404679652869	0.18053895399645434
speech	confodio	1	-0.354404679652869	0.18053895399645434
speech	nauticus	1	-0.354404679652869	0.18053895399645434
speech	nauo	1	-0.354404679652869	0.18053895399645434
speech	modestus	1	-0.354404679652869	0.18053895399645434
speech	conecto	1	-0.354404679652869	0.18053895399645434
speech	atys	1	-0.354404679652869	0.18053895399645434
speech	conduco	1	-0.354404679652869	0.18053895399645434
speech	tonitruum	1	-0.354404679652869	0.18053895399645434
speech	incitus	1	-0.354404679652869	0.18053895399645434
speech	euoco	1	-0.354404679652869	0.18053895399645434
speech	nandus	1	-0.354404679652869	0.18053895399645434
speech	abantiades	1	-0.354404679652869	0.18053895399645434
speech	comprensus	1	-0.354404679652869	0.18053895399645434
speech	baeto	1	-0.354404679652869	0.18053895399645434
speech	propono	1	-0.354404679652869	0.18053895399645434
speech	coorior	1	-0.354404679652869	0.18053895399645434
speech	aoniae	1	-0.354404679652869	0.18053895399645434
speech	chimaera	1	-0.354404679652869	0.18053895399645434
speech	triformis	1	-0.354404679652869	0.18053895399645434
speech	superemineo	1	-0.354404679652869	0.18053895399645434
speech	bellantes	1	-0.354404679652869	0.18053895399645434
speech	chalybes	1	-0.354404679652869	0.18053895399645434
speech	textus	1	-0.354404679652869	0.18053895399645434
speech	abo	1	-0.354404679652869	0.18053895399645434
speech	uelociter	1	-0.354404679652869	0.18053895399645434
speech	asbytes	1	-0.354404679652869	0.18053895399645434
speech	infamo	1	-0.354404679652869	0.18053895399645434
speech	polites	1	-0.354404679652869	0.18053895399645434
speech	ignobilis	1	-0.354404679652869	0.18053895399645434
speech	retempto	1	-0.354404679652869	0.18053895399645434
speech	sthenelus	1	-0.354404679652869	0.18053895399645434
speech	manica	1	-0.354404679652869	0.18053895399645434
speech	horrisonus	1	-0.354404679652869	0.18053895399645434
speech	cinyphius	1	-0.354404679652869	0.18053895399645434
speech	lympha	7	-0.354455543678347	0.18053600854029703
speech	armatus	7	-0.354455543678347	0.18053600854029703
speech	argentum	7	-0.354455543678347	0.18053600854029703
