idx	token	lemma	dialogism_score
6722	que	que	0.2012336315258229
6723	labores	labor	0.2508706187923403
6724	donat	dono	0.24164582493433295
6725	et	et	0.15833624089312415
6726	emathiis	emathia	0.2303000483314253
6727	quod	qui	0.42100431064343263
6728	solum	solum	0.30495462304613563
6729	defuit	desum	0.2290653278008658
6730	armis	arma	0.2696618648289194
6731	exhibet	exhibeo	0.24065095980271994
6732	absenti	absum	0.2678755531776723
6733	bellum	bellum	0.29363538728273564
6734	ciuile	ciuilis	0.2656114316579526
6735	peractum	perago	0.21795451232639845
6736	est	sum	0.4103991028490287
6737	thessalicas	thessalicus	0.25469387355528694
6738	quaerens	quaero	0.24881940343979997
6739	magnus	magnus	0.2540565670884155
6740	reparare	reparo	0.27949309838078845
6741	ruinas	ruina	0.24876301755497449
6742	ense	ensis	0.1653615879598535
6743	iacet	iaceo	0.25538549825763457
6744	nostro	noster	0.48435344851583073
6745	tanto	tantus	0.31737125096908375
6746	te	tu	0.7807333600401292
6747	pignore	pignus	0.2694810890347064
6748	caesar	caesar	0.24411375917475533
6749	emimus	emo	0.3228611419906431
6750	hoc	hic	0.4324442720018331
6751	tecum	tecum	0.3299120337761309
6752	percussum	percituor	0.12804528361080056
6753	est	sum	0.4103991028490287
6754	sanguine	sanguis	0.2332791310679242
6755	foedus	foedus	0.2925181363863236
6756	accipe	accipio	0.3644478562871788
6757	regna	regnum	0.318717214176867
6758	phari	phor	0.1645118910756834
6759	nullo	nullus	0.2889557655975856
6760	quaesita	quaero	0.225481407418209
6761	cruore	cruor	0.19424804400529952
6762	accipe	accipio	0.3644478562871788
6763	niliaci	niliax	0.13347116954040184
6764	ius	ius	0.2871172323903613
6765	gurgitis	gurges	0.21979014517137857
6766	accipe	accipio	0.3644478562871788
6767	quidquid	quidquid	0.3257405127555517
6768	pro	pro	0.2911763213301979
6769	magni	magnus	0.2587224555281922
6770	ceruice	ceruix	0.1855546362921205
6771	dares	do	0.383541780068192
6772	dignum	dignus	0.29702302685500215
6773	que	que	0.2012336315258229
6774	clientem	cliens	0.23945719624825662
6775	castris	castra	0.23008357006448454
6776	crede	credo	0.3953901395997094
6777	tuis	tuus	0.5026851072665918
6778	cui	qui	0.42887421868307374
6779	tantum	tantum	0.31766075887298484
6780	fata	fatum	0.3082749818072536
6781	licere	licet	0.3641325739470969
6782	in	in	0.1978304838181022
6783	generum	gener	0.2673715837477303
6784	uoluere	uolo	0.23524315633922183
6785	tuum	tuus	0.48820861962302553
6786	nec	neque	0.2829151588008186
6787	uile	uilis	0.2783843144602058
6788	putaris	puto	0.3350497308624154
6789	hoc	hic	0.4324442720018331
6790	meritum	meritum	0.2781554114223574
6791	facili	facilis	0.23831152769207126
6792	nobis	nos	0.5997307209855689
6793	quod	quod	0.3777126237231303
6794	caede	caedes	0.23005257845444504
6795	peractum	perago	0.21795451232639845
6796	est	sum	0.4103991028490287
6797	hospes	hospes	0.24957592754461264
6798	auitus	auitus	0.25023548118098793
6799	erat	sum	0.39446734537716976
6800	depulso	depulsus	0.21845754016531171
6801	sceptra	sceptrum	0.27089352962862573
6802	parenti	parens	0.29997388817889215
6803	reddiderat	reddo	0.2553196014021502
6804	quid	quis	0.4783020786977808
6805	plura	plus	0.28702372037757834
6806	feram	ferus	0.3516313086652079
